,tile_name,left,bottom,right,top
307,27HN1,210000.0,481250.0,215000.0,487500.0
308,67AN2,25000.0,375000.0,30000.0,381250.0
309,27CN2,185000.0,481250.0,190000.0,487500.0
310,45DZ2,155000.0,400000.0,160000.0,406250.0
311,34EN2,245000.0,468750.0,250000.0,475000.0
312,49DZ2,75000.0,375000.0,80000.0,381250.0
313,14EN1,120000.0,543750.0,125000.0,550000.0
314,02CN1,180000.0,606250.0,185000.0,612500.0
315,10HN1,170000.0,556250.0,175000.0,562500.0
316,12CZ2,225000.0,550000.0,230000.0,556250.0
317,34CN1,220000.0,456250.0,225000.0,462500.0
318,40FZ2,215000.0,437500.0,220000.0,443750.0
319,57BN2,155000.0,368750.0,160000.0,375000.0
320,28BN1,230000.0,493750.0,235000.0,500000.0
321,40HN2,215000.0,431250.0,220000.0,437500.0
322,69AZ1,170000.0,312500.0,175000.0,318750.0
323,31FN2,135000.0,468750.0,140000.0,475000.0
324,03DZ2,235000.0,600000.0,240000.0,606250.0
325,07CN2,225000.0,581250.0,230000.0,587500.0
326,22AZ2,225000.0,512500.0,230000.0,518750.0
327,33EZ1,200000.0,462500.0,205000.0,468750.0
328,02EZ2,205000.0,612500.0,210000.0,618750.0
329,02HN2,215000.0,606250.0,220000.0,612500.0
330,07BZ1,230000.0,587500.0,235000.0,593750.0
331,51CZ1,140000.0,375000.0,145000.0,381250.0
332,30EZ2,85000.0,462500.0,90000.0,468750.0
333,49FN2,95000.0,393750.0,100000.0,400000.0
334,33EN1,200000.0,468750.0,205000.0,475000.0
335,64GN1,40000.0,412500.0,45000.0,418750.0
336,14GZ1,120000.0,525000.0,125000.0,531250.0
337,43EN1,80000.0,418750.0,85000.0,425000.0
338,16FN2,215000.0,543750.0,220000.0,550000.0
339,39FZ2,175000.0,437500.0,180000.0,443750.0
340,11HZ1,210000.0,550000.0,215000.0,556250.0
341,51GN1,160000.0,381250.0,165000.0,387500.0
342,02FZ2,215000.0,612500.0,220000.0,618750.0
343,31EN2,125000.0,468750.0,130000.0,475000.0
344,22AZ1,220000.0,512500.0,225000.0,518750.0
345,37DZ1,70000.0,425000.0,75000.0,431250.0
346,68GN2,195000.0,331250.0,200000.0,337500.0
347,11CZ2,185000.0,550000.0,190000.0,556250.0
348,46BZ2,195000.0,412500.0,200000.0,418750.0
349,58AZ1,180000.0,362500.0,185000.0,368750.0
350,11DN2,195000.0,556250.0,200000.0,562500.0
351,17EN2,245000.0,543750.0,250000.0,550000.0
352,39HN2,175000.0,431250.0,180000.0,437500.0
353,02HZ1,210000.0,600000.0,215000.0,606250.0
354,37FZ1,90000.0,437500.0,95000.0,443750.0
355,57HZ1,170000.0,350000.0,175000.0,356250.0
356,34CN2,225000.0,456250.0,230000.0,462500.0
357,39EN2,165000.0,443750.0,170000.0,450000.0
358,07BZ2,235000.0,587500.0,240000.0,593750.0
359,06CN2,185000.0,581250.0,190000.0,587500.0
360,17DN1,230000.0,531250.0,235000.0,537500.0
361,28FZ1,250000.0,487500.0,255000.0,493750.0
362,30FN2,95000.0,468750.0,100000.0,475000.0
363,13DZ1,270000.0,550000.0,275000.0,556250.0
364,68EZ1,190000.0,337500.0,195000.0,343750.0
365,17DZ2,235000.0,525000.0,240000.0,531250.0
366,39AZ1,140000.0,437500.0,145000.0,443750.0
367,39DN1,150000.0,431250.0,155000.0,437500.0
368,43DZ1,70000.0,400000.0,75000.0,406250.0
369,17BZ1,230000.0,537500.0,235000.0,543750.0
370,65CZ2,25000.0,381250.0,30000.0,387500.0
371,31GN2,125000.0,456250.0,130000.0,462500.0
372,52AZ1,180000.0,387500.0,185000.0,393750.0
373,03HZ2,255000.0,600000.0,260000.0,606250.0
374,39CZ2,145000.0,425000.0,150000.0,431250.0
375,40CN1,180000.0,431250.0,185000.0,437500.0
376,67BZ1,30000.0,368750.0,35000.0,375000.0
377,17CZ1,220000.0,525000.0,225000.0,531250.0
378,30HN2,95000.0,456250.0,100000.0,462500.0
379,14AN2,105000.0,543750.0,110000.0,550000.0
380,05DZ2,155000.0,575000.0,160000.0,581250.0
381,05GZ2,165000.0,575000.0,170000.0,581250.0
382,09BZ1,110000.0,562500.0,115000.0,568750.0
383,43GN2,85000.0,406250.0,90000.0,412500.0
384,55BZ1,70000.0,362500.0,75000.0,368750.0
385,10GZ2,165000.0,550000.0,170000.0,556250.0
386,39EZ1,160000.0,437500.0,165000.0,443750.0
387,27FZ1,210000.0,487500.0,215000.0,493750.0
388,65FN2,55000.0,400000.0,60000.0,406250.0
389,38BZ1,110000.0,437500.0,115000.0,443750.0
390,25HZ1,130000.0,475000.0,135000.0,481250.0
391,10HN2,175000.0,556250.0,180000.0,562500.0
392,44DN1,110000.0,406250.0,115000.0,412500.0
393,28GN2,245000.0,481250.0,250000.0,487500.0
394,52GZ1,200000.0,375000.0,205000.0,381250.0
395,49EZ2,85000.0,387500.0,90000.0,393750.0
396,41CN1,220000.0,431250.0,225000.0,437500.0
397,26FN1,170000.0,493750.0,175000.0,500000.0
398,40BZ1,190000.0,437500.0,195000.0,443750.0
399,67EZ2,45000.0,368750.0,50000.0,375000.0
400,51BN1,150000.0,393750.0,155000.0,400000.0
401,15EZ1,160000.0,537500.0,165000.0,543750.0
402,10CN2,145000.0,556250.0,150000.0,562500.0
403,50DZ2,115000.0,375000.0,120000.0,381250.0
404,44BN2,115000.0,418750.0,120000.0,425000.0
405,40DZ1,190000.0,425000.0,195000.0,431250.0
406,07AN2,225000.0,593750.0,230000.0,600000.0
407,26BZ2,155000.0,487500.0,160000.0,493750.0
408,29AN1,260000.0,493750.0,265000.0,500000.0
409,12FN2,255000.0,568750.0,260000.0,575000.0
410,12AN2,225000.0,568750.0,230000.0,575000.0
411,19CZ2,105000.0,500000.0,110000.0,506250.0
412,45FZ1,170000.0,412500.0,175000.0,418750.0
413,68GN1,190000.0,331250.0,195000.0,337500.0
414,49FZ1,90000.0,387500.0,95000.0,393750.0
415,21FZ1,210000.0,512500.0,215000.0,518750.0
416,06AN2,185000.0,593750.0,190000.0,600000.0
417,10BN1,150000.0,568750.0,155000.0,575000.0
